Growth Temp (Celsius),Metal_mmol (mmol),Chalcogen_mmol (mmol),CA_mmol (mmol),Amines_mmol (mmol),Phosphines_mmol (mmol),S_I_amount (g),S_II_amount (g),Time_min (min),x0_cadmium acetate,x0_cadmium acetate dihtdrate,x0_cadmium acetate dihydrate,x0_cadmium oxide,x0_cadmium stearate,x0_dimethylcadmium,x1_None,x1_benzoic acid,x1_dodecylphosphonic acid,x1_ethylphosphonic acid,x1_lauric acid,x1_myrstic acid,x1_oleic acid,x1_stearic acid,x2_2-6-dimethylpyridine,x2_None,x2_aniline,x2_benzylamine,x2_dioctylamine/hexadecylamine,x2_dodecylamine,x2_heptylamine,x2_hexadecylamine,x2_octadecylamine,x2_octylamine,x2_oleylamine,x2_pyridine,x2_trioctylamine,x3_None,x3_diphenylphosphine,x3_tributylphosphine,x3_trioctylphosphine,x3_triphenylphosphine,x4_None,x4_liquid parafin,x4_octadecene,x4_phenyl ether,x4_trioctylphosphine oxide,x5_None,x5_phosphinic acid,x5_trioctylphosphine oxide,Diameter_nm,Absorbance max (nm),PL max (nm)
0.482359735,-0.46511898,-0.500554308,-0.386535783,-0.498128738,-0.370585069,-0.38745161,-0.302087419,-0.188284404,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4.5,605,None
0.482359735,-0.46511898,-0.500554308,-0.386535783,-0.498128738,-0.370585069,-0.38745161,-0.302087419,-0.146466472,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,5.1,630,None
0.482359735,-0.46511898,-0.500554308,-0.386535783,-0.498128738,-0.370585069,-0.439275863,0.01215674,-0.236296813,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2.3,510,None
0.482359735,-0.46511898,-0.500554308,-0.386535783,-0.498128738,-0.370585069,-0.439275863,0.01215674,-0.23546254,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,550,None
0.482359735,-0.46511898,-0.500554308,-0.386535783,-0.498128738,-0.370585069,-0.439275863,0.01215674,-0.233376858,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3.5,570,None
0.482359735,-0.46511898,-0.500554308,-0.386535783,-0.498128738,-0.370585069,-0.439275863,0.01215674,-0.229372348,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4,590,None
0.482359735,-0.46511898,-0.500554308,-0.386535783,-0.498128738,-0.370585069,-0.439275863,0.01215674,-0.206888691,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4.4,600,None
0.482359735,-0.46511898,-0.500554308,-0.386535783,-0.498128738,-0.370585069,-0.439275863,0.01215674,-0.180713377,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4.5,600,None
0.482359735,-0.46511898,-0.500554308,-0.386535783,-0.498128738,-0.370585069,-0.439275863,0.221652846,-0.236150815,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2.2,500,None
0.482359735,-0.46511898,-0.500554308,-0.386535783,-0.498128738,-0.370585069,-0.439275863,0.221652846,-0.235087117,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2.8,545,None
0.482359735,-0.46511898,-0.500554308,-0.386535783,-0.498128738,-0.370585069,-0.439275863,0.221652846,-0.231291175,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3.6,570,None
0.482359735,-0.46511898,-0.500554308,-0.386535783,-0.498128738,-0.370585069,-0.439275863,0.221652846,-0.219340215,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4.3,600,None
0.482359735,-0.46511898,-0.500554308,-0.386535783,-0.498128738,-0.370585069,-0.439275863,0.221652846,-0.185051597,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4.6,620,None
0.482359735,-0.46511898,-0.500554308,-0.386535783,-0.498128738,-0.370585069,-0.439275863,0.221652846,-0.125818216,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4.9,620,None
0.482359735,-0.46511898,-0.500554308,-0.386535783,-0.498128738,-0.370585069,-0.439275863,5.981667014,-0.236234243,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1.7,450,None
0.482359735,-0.46511898,-0.500554308,-0.386535783,-0.498128738,-0.370585069,-0.439275863,5.981667014,-0.233376858,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2.5,530,None
0.482359735,-0.46511898,-0.500554308,-0.386535783,-0.498128738,-0.370585069,-0.439275863,5.981667014,-0.206534125,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3.5,585,None
0.482359735,-0.46511898,-0.500554308,-0.386535783,-0.498128738,-0.370585069,-0.439275863,5.981667014,-0.180817661,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3.7,590,None
0.482359735,-0.46511898,-0.500554308,-0.386535783,-0.498128738,-0.370585069,-0.439275863,5.981667014,-0.14844787,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3.9,595,None
